Date,DeSantis (R),Gillum (D),MoE,Poll,Sample,Spread,Year
11/1 - 11/2,46,48,2.0,St. Pete Polls,2733 LV,Gillum +2,2018
10/29 - 10/30,46,48,1.9,Trafalgar Group (R),2543 LV,Gillum +2,2018
10/24 - 10/29,48,49,4.3,CNN,781 LV,Gillum +1,2018
10/25 - 10/28,44,45,4.4,USA Today/Suffolk*,500 LV,Gillum +1,2018
10/23 - 10/27,43,48,4.0,NY Times/Siena,737 LV,Gillum +5,2018
10/23 - 10/26,46,47,4.0,CBS News/YouGov,991 LV,Gillum +1,2018
10/23 - 10/26,43,49,3.0,UNF,1048 LV,Gillum +6,2018
10/22 - 10/23,46,51,3.5,Gravis,773 LV,Gillum +5,2018
10/20 - 10/21,46,47,2.5,St. Pete Polls*,1575 LV,Gillum +1,2018
10/16 - 10/23,48,45,3.5,WCTV-TV,800 LV,DeSantis +3,2018
10/18 - 10/21,37,41,3.6,Florida Atlantic University,740 LV,Gillum +4,2018
10/18 - 10/21,42,49,5.0,Bay News 9/SurveyUSA,665 LV,Gillum +7,2018
10/17 - 10/21,46,52,3.5,Quinnipiac,1161 LV,Gillum +6,2018
10/16 - 10/20,42,54,4.2,CNN,759 LV,Gillum +12,2018
10/15 - 10/16,46,47,2.2,St. Pete Polls*,1974 LV,Gillum +1,2018
9/29 - 9/30,45,47,2.0,St. Pete Polls*,2313 LV,Gillum +2,2018
9/17 - 9/30,43,44,3.5,WCTV-TV,800 LV,Gillum +1,2018
9/24 - 9/27,44,45,3.5,Mason-Dixon*,815 LV,Gillum +1,2018
9/20 - 9/24,45,54,4.0,Quinnipiac,888 LV,Gillum +9,2018
9/16 - 9/20,43,48,4.7,NBC News/Marist,600 LV,Gillum +5,2018
9/17 - 9/19,43,47,4.0,UNF,603 LV,Gillum +4,2018
9/13 - 9/16,39,41,3.3,Florida Atlantic University,850 LV,Gillum +2,2018
9/10 - 9/11,42,48,3.5,Rasmussen Reports,800 LV,Gillum +6,2018
9/7 - 9/9,43,47,5.3,SurveyUSA,634 LV,Gillum +4,2018
9/5 - 9/6,47,48,2.1,St. Pete Polls,2240 LV,Gillum +1,2018
8/30 - 9/3,47,50,4.3,Quinnipiac,785 LV,Gillum +3,2018
8/29 - 8/30,45,47,2.8,Gravis,1225 LV,Gillum +2,2018
7/13 - 7/14,39,36,2.3,Gravis,1840 LV,DeSantis +3,2018
2/26 - 3/19,29,33,2.1,Gravis,2212 LV,Gillum +4,2018
