Abrams (D),Date,Kemp (R),MoE,Poll,Sample,Spread,Year
47,10/29 - 10/31,49,3.7,Emerson,724 LV,Kemp +2,2018
48,10/28 - 10/29,47,3.9,FOX 5 Atlanta/Opinion Savvy*,623 LV,Abrams +1,2018
47,10/21 - 10/30,47,3.0,Atlanta Journal-Constitution,1091 LV,Tie ,2018
47,10/14 - 10/18,49,4.8,NBC News/Marist,554 LV,Kemp +2,2018
45,10/3 - 10/8,47,4.9,WXIA-TV/SurveyUSA,655 LV,Kemp +2,2018
46,10/1 - 10/1,48,3.2,Landmark Communications*,964 LV,Kemp +2,2018
48,10/21 - 10/22,48,3.4,FOX 5 Atlanta/Opinion Savvy*,824 LV,Tie ,2018
46,9/30 - 10/9,48,2.8,Atlanta Journal-Constitution*,1232 LV,Kemp +2,2018
45,8/26 - 9/4,45,3.1,Atlanta Journal-Constitution*,1020 LV,Tie ,2018
46,7/27 - 7/29,44,3.8,Gravis,650 LV,Abrams +2,2018
44,7/15 - 7/19,46,4.3,WXIA-TV/SurveyUSA,1199 LV,Kemp +2,2018
40,2/20 - 2/23,37,4.0,Mason-Dixon,625 RV,Abrams +3,2018
