Date,Hogan (R),Jealous (D),MoE,Poll,Sample,Spread,Year
10/4 - 10/7,58,38,4.5,Washington Post,648 LV,Hogan +20,2018
10/1 - 10/6,54,36,3.5,Gonzales Research*,806 LV,Hogan +18,2018
9/24 - 9/26,52,37,4.0,Mason-Dixon*,625 LV,Hogan +15,2018
9/11 - 9/16,54,32,4.5,Goucher College,472 LV,Hogan +22,2018
8/1 - 8/8,52,36,3.5,Gonzales Research,831 LV,Hogan +16,2018
6/4 - 6/10,51,34,3.5,Gonzales Research,800 LV,Hogan +17,2018
5/29 - 6/3,51,39,4.5,Washington Post,968 RV,Hogan +12,2018
4/14 - 4/19,44,31,4.6,Goucher College,449 LV,Hogan +13,2018
2/20 - 2/24,50,33,4.0,Mason-Dixon,625 RV,Hogan +17,2018
12/27 - 1/5,49,36,3.5,Gonzales Research,823 LV,Hogan +13,2018
9/27 - 9/30,49,33,4.0,Mason-Dixon,625 RV,Hogan +16,2017
