Date,Dean (D),Lee (R),MoE,Poll,Sample,Spread,Year
10/28 - 10/30,41,54,4.0,Emerson,632 LV,Lee +13,2018
10/27 - 10/29,37,54,3.5,FOX News,718 LV,Lee +17,2018
10/24 - 10/29,42,52,4.3,CNN,764 LV,Lee +10,2018
10/22 - 10/29,36,48,4.4,East Tennessee State University,495 LV,Lee +12,2018
10/23 - 10/27,40,57,5.7,NBC News/Marist,471 LV,Lee +17,2018
10/8 - 10/13,37,48,4.9,Vanderbilt University,800 RV,Lee +11,2018
10/8 - 10/11,33,59,4.2,NY Times/Siena,642 LV,Lee +26,2018
9/29 - 10/2,36,53,3.5,FOX News,666 LV,Lee +17,2018
9/11 - 9/15,43,52,4.3,CNN,723 LV,Lee +9,2018
9/8 - 9/11,35,55,3.5,FOX News,686 LV,Lee +20,2018
8/25 - 8/28,40,53,5.1,NBC News/Marist,538 LV,Lee +13,2018
8/9 - 8/11,40,51,3.9,Gravis,620 LV,Lee +11,2018
