Abbott (R),Date,MoE,Poll,Sample,Spread,Valdez (D),Year
51,10/28 - 10/30,3.7,Emerson,781 LV,Abbott +8,43,2018
59,10/25 - 10/26,4.0,CBS 11/Dixie Strategies,588 LV,Abbott +26,33,2018
54,10/22 - 10/28,3.5,Quinnipiac,1078 LV,Abbott +14,40,2018
56,10/15 - 10/21,3.2,UT/Texas Tribune*,927 LV,Abbott +19,37,2018
57,10/9 - 10/13,4.5,CNN,716 LV,Abbott +18,39,2018
57,10/8 - 10/11,3.6,NY Times/Siena,800 LV,Abbott +22,35,2018
58,10/3 - 10/9,4.4,Quinnipiac,730 LV,Abbott +20,38,2018
53,10/1 - 10/5,4.5,Emerson*,500 LV,Abbott +20,33,2018
58,9/11 - 9/17,4.1,Quinnipiac,807 LV,Abbott +19,39,2018
53,9/6 - 9/7,4.3,CBS 11/Dixie Strategies,519 LV,Abbott +19,34,2018
48,8/22 - 8/25,4.4,Emerson,550 RV,Abbott +20,28,2018
56,8/12 - 8/16,3.8,NBC News/Marist,759 RV,Abbott +19,37,2018
51,7/26 - 7/31,3.5,Quinnipiac,1138 RV,Abbott +13,38,2018
47,7/9 - 7/26,4.7,Texas Lyceum*,441 LV,Abbott +16,31,2018
51,7/3 - 7/7,4.0,Gravis,602 LV,Abbott +10,41,2018
44,6/8 - 6/17,2.8,UT/Texas Tribune*,1200 RV,Abbott +12,32,2018
53,5/23 - 5/29,3.8,Quinnipiac,961 RV,Abbott +19,34,2018
48,5/19 - 5/21,4.1,JMC Analytics,575 LV,Abbott +12,36,2018
49,4/12 - 4/17,3.6,Quinnipiac,1029 RV,Abbott +9,40,2018
