Date,Evers (D),MoE,Poll,Sample,Spread,Walker (R),Year
10/29 - 10/31,51,4.1,Emerson,604 LV,Evers +5,46,2018
10/24 - 10/28,47,3.2,Marquette*,1154 LV,Tie ,47,2018
10/3 - 10/7,46,3.9,Marquette*,799 LV,Walker +1,47,2018
9/30 - 10/3,53,4.8,NBC News/Marist,571 LV,Evers +10,43,2018
9/12 - 9/16,49,4.4,Marquette*,614 LV,Evers +5,44,2018
8/18 - 8/24,46,4.4,Suffolk,500 LV,Evers +2,44,2018
8/15 - 8/19,46,4.5,Marquette*,601 LV,Tie ,46,2018
8/15 - 8/16,49,4.0,PPP (D),596 RV,Evers +5,44,2018
7/26 - 7/28,48,4.2,Emerson,632 RV,Evers +7,41,2018
7/15 - 7/19,54,3.8,NBC News/Marist,906 RV,Evers +13,41,2018
6/13 - 6/17,44,4.0,Marquette,800 RV,Walker +4,48,2018
