Date,McSally (R),MoE,Poll,Sample,Sinema (D),Spread,Year
10/30 - 11/1,47,2.1,Trafalgar Group (R),2166 LV,50,Sinema +3,2018
10/27 - 10/29,46,3.5,FOX News,643 LV,46,Tie ,2018
10/24 - 10/29,47,4.4,CNN,702 LV,51,Sinema +4,2018
10/23 - 10/27,44,5.4,NBC News/Marist,506 LV,50,Sinema +6,2018
10/23 - 10/26,44,4.1,CBS News/YouGov,972 LV,47,Sinema +3,2018
10/22 - 10/23,52,4.0,ABC 15/OH Predictive Insights*,600 LV,45,McSally +7,2018
10/15 - 10/19,48,4.2,NY Times/Siena,606 LV,46,McSally +2,2018
10/2 - 10/5,44,--,CBS News/YouGov,898 LV,47,Sinema +3,2018
10/1 - 10/2,47,4.0,ABC 15/OH Predictive Insights,600 LV,41,McSally +6,2018
9/29 - 10/2,45,3.5,FOX News,716 LV,47,Sinema +2,2018
9/27 - 9/30,42,4.4,Suffolk*,500 LV,45,Sinema +3,2018
9/19 - 9/21,39,4.4,Emerson*,650 RV,45,Sinema +6,2018
9/16 - 9/20,45,4.7,NBC News/Marist,564 LV,48,Sinema +3,2018
9/11 - 9/15,43,4.3,CNN,761 LV,50,Sinema +7,2018
9/8 - 9/11,44,3.5,FOX News,710 LV,47,Sinema +3,2018
9/5 - 9/6,49,4.0,ABC 15/OH Predictive Insights,597 LV,46,McSally +3,2018
9/5 - 9/7,49,5.3,Gravis,882 LV,48,McSally +1,2018
7/23 - 7/25,44,4.0,ABC 15/OH Predictive Insights,600 LV,48,Sinema +4,2018
6/27 - 7/2,39,3.2,Gravis,925 LV,43,Sinema +4,2018
6/21 - 6/22,32,4.0,Emerson,650 RV,40,Sinema +8,2018
6/17 - 6/21,38,4.5,NBC News/Marist,839 RV,49,Sinema +11,2018
6/19 - 6/22,37,--,CBS News/YouGov,869 LV,45,Sinema +8,2018
4/10 - 4/11,42,4.0,ABC 15/OH Predictive Insights,600 LV,48,Sinema +6,2018
11/9 - 11/9,45,4.0,OH Predictive Insights,600 LV,46,Sinema +1,2017
