Date,Feinstein (D),Leon (D),MoE,Poll,Sample,Spread,Year
10/19 - 10/26,45,36,4.0,Berkeley IGS,1339 LV,Feinstein +9,2018
10/17 - 10/19,41,23,4.1,Emerson*,671 LV,Feinstein +18,2018
10/12 - 10/21,43,27,4.2,PPIC,989 LV,Feinstein +16,2018
10/10 - 10/24,36,29,3.1,Stanford/YouGov,2178 RV,Feinstein +7,2018
10/12 - 10/14,40,26,4.9,KABC/SurveyUSA,762 LV,Feinstein +14,2018
9/17 - 10/14,44,31,4.0,LA Times/USC,794 LV,Feinstein +13,2018
9/9 - 9/18,40,29,4.4,PPIC,964 LV,Feinstein +11,2018
7/8 - 7/17,46,24,4.3,PPIC,1020 LV,Feinstein +22,2018
6/26 - 6/27,46,24,5.9,SurveyUSA,559 LV,Feinstein +22,2018
6/6 - 6/17,36,18,4.0,LA Times/USC,893 RV,Feinstein +18,2018
