Braun (R),Brenton (L),Date,Donnelly (D),MoE,Poll,Sample,Spread,Year
38,5,10/27 - 10/30,45,3.5,FOX News,722 LV,Donnelly +7,2018
42,7,10/24 - 10/28,45,5.5,NBC News/Marist,496 LV,Donnelly +3,2018
46,3,10/23 - 10/26,43,3.7,CBS News/YouGov,975 LV,Braun +3,2018
47,3,10/15 - 10/20,43,3.9,Indy Politics/Mason Strategies (R),600 LV,Braun +4,2018
40,8,10/12 - 10/16,41,4.6,SurveyUSA,816 LV,Donnelly +1,2018
40,7,10/12 - 10/16,44,5.1,Gravis,377 LV,Donnelly +4,2018
41,6,9/29 - 10/2,43,3.5,FOX News,695 LV,Donnelly +2,2018
45,3,9/8 - 9/11,43,3.5,FOX News,677 LV,Braun +2,2018
41,8,8/26 - 8/29,44,5.0,NBC News/Marist,576 LV,Donnelly +3,2018
