Date,Diehl (R),MoE,Poll,Sample,Spread,Warren (D),Year
10/25 - 10/28,32,4.4,WBUR/MassINC*,502 LV,Warren +22,54,2018
10/24 - 10/28,34,4.4,Boston Globe/Suffolk*,500 LV,Warren +22,56,2018
10/10 - 10/27,27,5.0,Western NE University*,402 LV,Warren +30,57,2018
10/1 - 10/7,31,5.6,UMass Lowell*,485 LV,Warren +25,56,2018
9/17 - 9/21,30,4.4,WBUR/MassINC*,506 LV,Warren +26,56,2018
9/13 - 9/17,24,4.4,Boston Globe/Suffolk*,500 LV,Warren +30,54,2018
6/8 - 6/12,33,4.4,Boston Globe/Suffolk,500 LV,Warren +22,55,2018
5/22 - 5/26,19,4.4,WBUR/MassINC*,501 RV,Warren +36,55,2018
3/16 - 3/18,20,4.4,WBUR/MassINC*,504 RV,Warren +35,55,2018
11/9 - 11/12,32,4.4,WBUR/MassINC*,504 RV,Warren +26,58,2017
6/19 - 6/22,29,4.4,WBUR/MassINC,504 RV,Warren +31,60,2017
