Date,James (R),MoE,Poll,Sample,Spread,Stabenow (D),Year
10/29 - 10/30,41,3.6,Gravis,764 LV,Stabenow +13,54,2018
10/25 - 10/27,36,4.0,Detroit News/WDIV-TV*,600 LV,Stabenow +17,53,2018
10/25 - 10/25,46,5.0,Mitchell Research,400 LV,Stabenow +6,52,2018
10/24 - 10/26,43,3.6,Emerson,822 LV,Stabenow +9,52,2018
10/18 - 10/23,42,4.0,EPIC-MRA,600 LV,Stabenow +7,49,2018
10/14 - 10/18,37,4.0,MRG,600 LV,Stabenow +16,53,2018
9/30 - 10/7,42,3.8,Mitchell Research,654 LV,Stabenow +9,51,2018
9/30 - 10/2,35,4.0,Detroit News/WDIV-TV,600 LV,Stabenow +18,53,2018
9/21 - 9/25,33,4.0,EPIC-MRA,600 LV,Stabenow +23,56,2018
9/12 - 9/13,41,3.0,Mitchell Research,1009 LV,Stabenow +13,54,2018
9/10 - 9/14,40,3.0,Target-Insyght/MIRS,800 LV,Stabenow +15,55,2018
9/5 - 9/7,33,4.0,Detroit News/WDIV-TV,600 LV,Stabenow +23,56,2018
8/14 - 8/16,35,3.9,Gravis,647 LV,Stabenow +16,51,2018
7/19 - 7/21,29,7.3,Emerson,202 LV,Stabenow +18,47,2018
7/15 - 7/19,37,3.9,NBC News/Marist,886 RV,Stabenow +18,55,2018
1/16 - 1/19,30,4.0,Detroit News/WDIV-TV,600 LV,Stabenow +21,51,2018
