Date,Hawley (R),McCaskill (D),MoE,Poll,Sample,Spread,Year
11/1 - 11/2,47,47,2.6,Missouri Scout*,1424 LV,Tie ,2018
10/27 - 10/30,45,45,3.5,FOX News,741 LV,Tie ,2018
10/24 - 10/25,49,45,2.6,Missouri Scout*,1376 LV,Hawley +4,2018
10/17 - 10/18,47,46,2.7,Missouri Scout*,1215 LV,Hawley +1,2018
9/29 - 10/2,46,46,3.5,FOX News,683 LV,Tie ,2018
9/26 - 9/27,48,46,2.5,Missouri Scout*,1555 LV,Hawley +2,2018
9/25 - 9/29,44,47,4.3,CNN*,756 LV,McCaskill +3,2018
9/11 - 9/13,47,44,2.4,Trafalgar Group (R),1724 LV,Hawley +3,2018
9/10 - 9/14,45,45,--,CBS News/YouGov,917 LV,Tie ,2018
9/8 - 9/11,45,45,3.5,FOX News,675 LV,Tie ,2018
8/25 - 8/28,47,47,4.8,NBC News/Marist,568 LV,Tie ,2018
8/8 - 8/9,47,47,2.3,Missouri Scout*,1785 LV,Tie ,2018
7/7 - 7/8,48,46,3.2,Remington Research (R),1034 LV,Hawley +2,2018
5/9 - 5/10,44,48,3.3,Missouri Scout*,898 LV,McCaskill +4,2018
4/26 - 4/29,45,45,4.2,Emerson,600 LV,Tie ,2018
4/19 - 4/20,44,48,2.5,Missouri Scout*,1542 LV,McCaskill +4,2018
4/4 - 4/6,44,45,4.0,Mason-Dixon,625 RV,McCaskill +1,2018
3/5 - 3/7,40,42,3.2,Gravis,931 RV,McCaskill +2,2018
1/3 - 1/4,49,45,2.9,Remington Research (R),1122 LV,Hawley +4,2018
10/11 - 10/12,48,45,3.1,Remington Research (R),965 LV,Hawley +3,2017
8/16 - 8/18,50,45,3.0,Remington Research (R),922 LV,Hawley +5,2017
7/7 - 7/8,50,44,3.1,Remington Research (R),928 LV,Hawley +6,2017
