Blackburn (R),Bredesen (D),Date,MoE,Poll,Sample,Spread,Year
52,44,10/28 - 10/30,4.0,Emerson,632 LV,Blackburn +8,2018
50,41,10/27 - 10/30,3.5,FOX News,718 LV,Blackburn +9,2018
49,45,10/24 - 10/29,4.3,CNN,764 LV,Blackburn +4,2018
44,44,10/22 - 10/29,4.4,East Tennessee State University,495 LV,Tie ,2018
51,46,10/23 - 10/27,5.7,NBC News/Marist,471 LV,Blackburn +5,2018
43,44,10/8 - 10/13,4.9,Vanderbilt University,800 RV,Bredesen +1,2018
54,40,10/8 - 10/11,4.2,NY Times/Siena,593 LV,Blackburn +14,2018
50,42,10/2 - 10/5,--,CBS News/YouGov,871 LV,Blackburn +8,2018
48,43,9/29 - 10/2,3.5,FOX News,666 LV,Blackburn +5,2018
45,50,9/11 - 9/15,4.3,CNN,723 LV,Bredesen +5,2018
47,44,9/8 - 9/11,3.5,FOX News,686 LV,Blackburn +3,2018
46,48,8/25 - 8/28,5.1,NBC News/Marist,538 LV,Bredesen +2,2018
48,44,8/9 - 8/11,3.9,Gravis,620 LV,Blackburn +4,2018
37,43,7/11 - 7/14,4.1,Emerson,657 RV,Bredesen +6,2018
43,46,4/17 - 4/19,4.0,Mason-Dixon,625 RV,Bredesen +3,2018
35,45,3/22 - 3/29,4.0,Middle Tn. State Univ.,600 RV,Bredesen +10,2018
40,42,12/11 - 12/12,4.1,Gravis,563 RV,Bredesen +2,2017
