Baldwin (D),Date,MoE,Poll,Sample,Spread,Vukmir (R),Year
53,10/29 - 10/31,4.1,Emerson,604 LV,Baldwin +9,44,2018
54,10/24 - 10/28,3.2,Marquette,1154 LV,Baldwin +11,43,2018
53,10/3 - 10/7,3.9,Marquette,799 LV,Baldwin +10,43,2018
54,9/30 - 10/3,4.8,NBC News/Marist,571 LV,Baldwin +14,40,2018
53,9/12 - 9/16,4.4,Marquette,614 LV,Baldwin +11,42,2018
50,8/18 - 8/24,4.4,Suffolk,500 LV,Baldwin +8,42,2018
49,8/15 - 8/19,4.5,Marquette,601 LV,Baldwin +2,47,2018
50,7/26 - 7/28,4.2,Emerson,632 RV,Baldwin +14,36,2018
55,7/15 - 7/19,3.8,NBC News/Marist,906 RV,Baldwin +17,38,2018
49,6/13 - 6/17,4.0,Marquette,800 RV,Baldwin +9,40,2018
